Nom,Synonyme(s),Numero CAS,Numero EINECS,Numero Index,ATP,TMP,Colorant(Numero CI),Cancerigene (Categorie),Cancerigene (Mention de danger),Mutagene (Categorie),Mutagene (Mention de danger),Toxique repro. (Categorie),Toxique repro. (Mention de danger),Note(s),Commentaire(s)
"4-(4-(1,3-dihydroxyprop-2-yl)phénylamino)-1,8-dihydroxy-5-nitroanthraquinone",,114565-66-1,,603-121-00-2,,,,C2,,,,,,,
"4,4'-(1,3-phénylène-bis(1-méthyléthylidène))bis-phénol",,13595-25-0,,604-079-00-8,1ère corr,,,,,,,R2,H361f,,
"4,4'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[3-hydroxynaphtalène-2,7-disulfonate] de tétrasodium",,65151-33-9,265-533-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4,4'-bi-o-toluidine",,119-93-7,,612-041-00-7,,,,C1B,,,,,,,
"4,4'-bis(diméthylamino)benzophénone",cétone de Michler,90-94-8,,606-073-00-0,,,,C1B,,M2,,,,,
"4,4'-bis(N-carbamoyl-4-méthylbenzensulfonamide)diphénylméthane",,151882-81-4,,601-075-00-8,1ère,,,C2,,,,,,,
"4,4'-diaminodiphénylméthane","4,4'-méthylènedianiline",101-77-9,,612-051-00-1,,,,C1B,,M2,,,,,
"4,4'-isobutyléthylidènediphénol",,6807-17-6,,604-024-00-8,,,,,,,,R1B,H360F,,
"4,4'-méthylènebis(2-éthylaniline)",,19900-65-3,,612-141-00-0,,,,C2,,,,,,,
"4,4'-méthylènedi-o-toluidine","4,4'-méthylènebis(2-méthylaniline)",838-88-0,,612-085-00-7,,15 TER,,C1B,,,,,,,
"4,4'-oxydianiline et ses sels","p-aminophényléther , oxyde de p-aminophényle",101-80-4,,612-199-00-7,,,,C1B,,M1B,,R2,H361f,,
"4,4'-sulfonyldiphénol",bisphénol S,80-09-1,,604-098-00-1,18ème,,,,,,,R1B,H360FD,,
"4,4'-thiodianiline et ses sels",,139-65-1,,612-198-00-1,,,,C1B,,,,,,,
"4-[[4'-[(3-carboxylato-4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-4,5-dihydro-5-oxo-1-(4-sulfonatophényl)-1H-pyrazole-3-carboxylate de trisodium",,6459-87-6,229-271-5,611-024-00-1,,,22370,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-[[4'-[(6-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-3-hydroxynaphtalène-2,7-disulfonate de trisodium",,68084-22-0,268-432-4,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-[[8-amino-7-[[4'-[(2-amino-4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-1-hydroxy-3,6-disulfonato-2-naphtyl]azo]benzoate de trisodium",,93803-39-5,298-310-6,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-[4-[7-(4-carboxylatoanilino)-1-hydroxy-3-sulfonato-2-naphtylazo]-2,5-diméthoxyphénylazo]benzoate de triammonium",,221354-37-6,,611-156-00-X,1ère,,,,,,,R2,H361f,,
"4-amino-3-[[4'-[(1-hydroxy-4-sulfonato-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]naphtalène-1-sulfonate de disodium",,2429-70-1,219-381-1,611-024-00-1,,,22145,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-3-[[4'-[(2,4-diamino-5-méthylphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,2429-83-6,219-392-1,611-024-00-1,,,30245,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,38449-92-2,253-940-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,83562-72-5,280-482-9,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,54804-85-2,259-355-7,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-3-[[4'-[(2,4-diaminophényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,72906-45-7,277-003-0,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-3-[[4'-[(2,4-dihydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,68318-35-4,269-759-5,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-3-[[4'-[(2-amino-4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,85895-85-8,288-760-1,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-3-[[4'-[(2-amino-4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-méthoxy-2-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,93803-38-4,298-309-0,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-3-[[4'-[(2-amino-4-hydroxyphényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,93857-57-9,299-192-9,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-3-[[4'-[(2-amino-4-hydroxyphényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,70632-08-5,274-708-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-3-[[4'-[(2-amino-4-hydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-méthoxyphényl)azo]naphtalène-2,7-disulfonate de disodium",,94159-53-2,303-233-9,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-3-[[4'-[(2-amino-6-sulfonatonaphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]naphtalène-1-sulfonate de disodium",,6598-56-7,229-537-0,611-030-00-4,,,23505,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-3-[[4'-[(2-amino-8-hydroxy-6-sulfonatonaphtyl)azo][1,1'-biphényl]-4-yl]azo]naphtalène-1-sulfonate de disodium",,1937-35-5,217-709-8,611-024-00-1,,,22155,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-3-[[4'-[(4-amino-2-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-5-hydroxy-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,83968-66-5,281-547-4,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
4-amino-3-fluorophénol,,399-95-1,,604-028-00-X,,,,C1B,,,,,,,
"4-amino-5-hydroxy-3-[[4'-[(4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-6-(phénylazo)naphtalène-2,7-disulfonate de disodium",,3626-28-6,222-835-1,611-024-00-1,,,30280,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-5-hydroxy-3-[[4'-[(4-hydroxyphényl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,70632-07-4,274-706-4,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-5-hydroxy-3-[[4'-[[4-hydroxy-2-[(ortho-tolyl)amino]phényl]azo][1,1'-biphényl]-4-yl]azo]-6-[(4-sulfonatophényl)azo]naphtalène-2,7-disulfonate de trisodium",,6358-80-1,228-784-1,611-024-00-1,,,30336,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-5-hydroxy-6-[[4'-[(2-hydroxy-1-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-1,3-disulfonate de disodium",,2586-57-4,219-964-0,611-029-00-9,,,24280,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-amino-5-hydroxy-6-[[4'-[(4-hydroxyphényl)azo][1,1'-biphényl]-4-yl]azo]-3-[(4-nitrophényl)azo]naphtalène-2,7-disulfonate de disodium",,4335-09-5,224-376-2,611-024-00-1,,,30295,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"4-amino-5-hydroxy-6-[[4'-[(4-hydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-3-[(4-nitrophényl)azo]naphtalène-2,7-disulfonate de disodium",,68400-36-2,270-025-1,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-amino-6-[[4'-[(1,8-dihydroxy-3,6-disulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-5-hydroxynaphtalène-1,3-disulfonate de tétrasodium",,68084-23-1,268-434-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
4-aminoazobenzène,,60-09-3,,611-008-00-4,,,,C1B,,,,,,,
4-aminobiphényle,4-biphénylylamine,92-67-1,,612-072-00-6,,15 TER,,C1A,,,,,,,
4-aminophénol,,123-30-8,,612-128-00-X,,,,,,M2,,,,,
4-chloroaniline,,106-47-8,,612-137-00-9,,,,C1B,,,,,,,
4-chloro-o-toluidine,,95-69-2,,612-196-00-0,,15 TER,,C1B,,M2,,,,,
"4-dodécylphénol, ramifié",,210555-94-5,,604-092-00-9,9ème,,,,,,,R1B,H360F,,
4'-éthoxy-2-benzimidazolanilide,,120187-29-3,,616-073-00-2,,,,,,M2,,,,,
4-éthoxyaniline,p-phénétidine,156-43-4,,612-207-00-9,,,,,,M2,,,,,
4-hydroxy-3-(3-oxo-1-phénylbutyl)-2H-chromèn-2-one,,81-81-2,,607-056-00-0,9ème,,,,,,,R1A,H360D,,
"4-hydroxy-3-[[4'-[(1-hydroxy-4-sulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de trisodium",,6473-33-2,229-328-4,611-029-00-9,,,24145,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"4-hydroxy-3-[[4'-[(4-hydroxyphényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de disodium",,68109-58-0,268-478-5,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"4-hydroxy-3-[[4'-[[1-hydroxy-6-(phénylamino)-3-sulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-1,5-disulfonate de trisodium",,94944-81-7,305-659-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
4-mésyl-2-nitrotoluène,,1671-49-4,,609-072-00-3,1ère corr,,,,,,,R2,H361f,,
4-méthylbenzènesulfonate de (S)-oxyraneméthanol,,70987-78-9,,607-411-00-X,,,,C1B,,M2,,,,,
4-méthylbenzènosulfonate d'hydroxylamine,,53933-48-5,,612-237-00-2,1ère corr,,,C2,,,,,,,
4-méthyl-m-phénylènediamine,"toluène-2,4-diamine",95-80-7,,612-099-00-3,1ère,,,C1B,,M2,,R2,H361f,,
4-méthylpentan-2-one,isobutylméthylcétone,108-10-1,,606-004-00-4,17ème,,,C2,,,,,,,
4-nitrobiphényle,,92-93-3,,609-039-00-3,,,,C1B,,,,,,,
4-nitrosophénol,,104-91-6,,604-042-00-6,,,,,,M2,,,,,
"4-nonylphénol, ramifié",,84852-15-3,,601-053-00-8,,,,,,,,R2,H361fd,,
4-o-tolylazo-o-toluidine,"4-amino-2',3-diméthylazobenzène , o-aminoazotoluène",97-56-3,,611-006-00-3,,,,C1B,,,,,,,
4-tert-butylphénol,,98-54-4,,604-090-00-8,12ème,,,,,,,R2,H361f,,
4-vinylcyclohexène,,100-40-3,,601-088-00-9,6ème,,,C2,,,,,,,
"5-(2,4-dioxo-1,2,3,4-tétrahydropyrimidine)-3-fluoro-2-hydroxyméthyltétrahydrofuran",,41107-56-6,,616-089-00-X,,,,,,M2,,,,,
"5-(3-butyryl-2,4,6-triméthylphényl)-2-[1-(éthoxyimino)propyl]-3-hydroxycyclohex-2-én-1-one",butroxydim (ISO),138164-12-2,,606-070-00-4,,,,,,,,R2,H361fd,,
"5,5'-[(3,7-disulfonato-1,5-naphtylène)bis[azo(6-hydroxy-3,1-phénylène)azo[6(ou 7)-sulfonato-4,1-naphtylène]azo[1,1'-biphényl]-4,4'-diylazo]]bissalicylate d'hexasodium",,8014-91-3,232-397-3,611-024-00-1,,,36300,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5,6,12,13-tétrachloroanthra(2,1,9-def:6,5,10-d'e'f')diisoquinoléine-1,3,8,10(2H,9H)-tétrone",,115662-06-1,,616-066-00-4,,,,,,,,R2,H361f,,
"5-[[4'-[(1-amino-4-sulfonato-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,2429-79-0,219-387-4,611-024-00-1,,,22130,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[(2,4-diamino-5-sulfonatophényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de disodium",,67893-48-5,267-622-4,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[(2,6-diamino-3-méthyl-5-sulfonatophényl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de disodium",,6637-88-3,229-639-5,611-030-00-4,,,23375,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[(2-amino-8-hydroxy-6-sulfonato-1-naphtyl)azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,2429-84-7,219-393-7,611-024-00-1,,,22310,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,2429-82-5,219-391-6,611-024-00-1,,,22311,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de disodium",,68092-52-4,268-464-9,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[(8-amino-1-hydroxy-3,6-disulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylate de trisodium",,93964-64-8,300-910-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-[[4'-[[1-hydroxy-7-(phénylamino)-3-sulfonato-2-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,3476-90-2,222-450-9,611-024-00-1,,,22345,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,4-diamino-5-[(4-sulfophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,3811-71-0,223-294-4,611-024-00-1,,,30045,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,4-dihydroxy-3-[(4-sulfonatophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,2893-80-3,220-768-2,611-024-00-1,,,30140,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,6-diamino-3-[(4-sulfonatophényl)azo]phényl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de dilithium",,70632-09-6,274-709-0,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[[2,6-diamino-3-[[8-hydroxy-3,6-disulfonato-7-[(4-sulfonato-1-naphtyl)azo]-2-naphtyl]azo]-5-tolyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de tétrasodium",,2429-81-4,219-390-0,611-024-00-1,,,35660,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,6-diamino-3-méthyl-5-[(4-sulfonatophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]-3-méthylsalicylate de disodium",,6360-54-9,228-829-5,611-024-00-1,,,30120,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,6-diamino-3-méthyl-5-[(4-sulfonatophényl)azo]phényl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,2586-58-5,219-965-6,611-024-00-1,,,30110,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[2,6-diamino-4-[[8-hydroxy-3,6-disulfonato-7-[(4-sulfonato-1-naphtyl)azo]-2-naphtyl]azo]phényl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de tétrasodium",,68631-12-9,271-937-2,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[[4,5-dihydro-3-méthyl-5-oxo-1-(4-sulfonatophényl)-1H-pyrazole-4-yl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,13164-93-7,236-106-0,611-024-00-1,,,22375,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[4,5-dihydro-3-méthyl-5-oxo-1-(4-sulfonatophényl)-1h-pyrazole-4-yl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-3-méthylsalicylate de disodium",,6420-04-8,229-150-7,611-030-00-4,,,23665,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[[4,5-dihydro-3-méthyl-5-oxo-1-(4-sulfonatophényl)-1H-pyrazole-4-yl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de disodium",,6420-03-7,229-149-1,611-030-00-4,,,23655,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[[4-[(4-amino-7-sulfonato-1-naphtyl)azo]-6-sulfonato-1-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de trisodium",,6360-29-8,228-826-9,611-024-00-1,,,31725,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[4-[(4-hydroxyphényl)azo]-6(ou 7)-sulfonato-1-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,8003-50-7,232-320-3,611-024-00-1,,,31735,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[4-[[diamino[[3-[(2,4-diaminophényl)azo]phényl]azo]phényl]azo]sulfonato-1-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,33363-87-0,251-466-9,611-024-00-1,,,36030,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[6-amino-5-(1H-benzotriazole-4-ylazo)-1-hydroxy-3-sulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-4-méthylsalicylate de disodium",,85153-20-4,285-798-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-[[4'-[[7-(acétylamino)-1-hydroxy-3-sulfonato-2-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de disodium",,6459-86-5,229-269-4,611-024-00-1,,,22360,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[8-[(2,4-diaminophényl)azo]-1-hydroxy-3,6-disulfonato-2-naphtyl]azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]salicylate de trisodium",,6505-12-0,229-387-6,611-030-00-4,,,31885,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-[[4'-[[8-[[2,4-dihydroxy-3-[(2-méthoxy-5-sulfonatophényl)azo]phényl]azo]-1-hydroxy-3,6-disulfonato-2-naphtyl]azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]salicylate de tétrasodium",,93964-63-7,300-909-5,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-[[4'-[[8-amino-1-hydroxy-7-[(para-nitrophényl)azo]-3,6-disulfonato-2-naphtyl]azo]-4-biphényl]azo]salicylate de trisodium",,5422-17-3,226-545-6,611-024-00-1,,,30315,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-[[4'-[[8-amino-7-[[5-amino-2-[(4-sulfonatophényl)azo]phényl]azo]-1-hydroxy-3,6-disulfonato-2-naphtyl]azo][1,1'-biphényl]-4-yl]azo]salicylate de tétrasodium",,94158-41-5,303-112-0,611-024-00-1,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-amino-3-[[4'-[(6-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonate de trisodium",,73287-56-6,277-356-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-amino-3-[[4'-[(6-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonate de trisodium",,6420-22-0,229-152-8,611-030-00-4,,,23820,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-amino-3-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo][1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonate de trisodium",,2429-73-4,219-384-8,611-024-00-1,,,22590,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de la benzidine
"5-amino-3-[[4'-[(7-amino-1-hydroxy-3-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]-4-hydroxynaphtalène-2,7-disulfonate de trisodium",,66214-51-5,266-251-5,611-030-00-4,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-amino-4-hydroxy-3-[[4'-[(1-hydroxy-4-sulfonato-2-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de trilithium",,67923-89-1,267-794-0,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-amino-4-hydroxy-3-[[4'-[(1-hydroxy-4-sulfonato-2-naphtyl)azo]-3,3'-diméthyl[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de trisodium",,6420-09-3,229-151-2,611-030-00-4,,,23710,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"5-amino-4-hydroxy-3-[[4'-[(2-hydroxy-3,6-disulfonato-1-naphtyl)azo]-3,3'-diméthoxy[1,1'-biphényl]-4-yl]azo]naphtalène-2,7-disulfonate de tétrasodium",,68084-09-3,268-421-4,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"5-chloro-1,3-dihydro-2H-indol-2-one",,17630-75-0,,613-172-00-2,,,,,,,,R2,H361f,,
"5-éthoxy-3-trichlorométhyl-1,2,4-thiadiazole",etridiazole (ISO),2593-15-9,,613-133-00-X,7ème,,,C2,,,,,,,
"5-fluoro-1,3-diméthyl-N-[2-(4-méthylpentan-2-yl)phényl]-1H-pyrazole-4-carboxamide","2'-[(RS)-1,3-diméthylbutyl]-5-fluoro-1,3-diméthylpyrazole-4-carboxanilide , penflufène",494793-67-8,,616-231-00-0,15ème,,,C2,,,,,,,
5-nitroacénaphtène,,602-87-9,,609-037-00-2,,,,C1B,,,,,,,
5-nitro-o-toluidine,,99-55-8,,612-210-00-5,,,,C2,,,,,,,
"5-tert-butyl-2,4,6-trinitro-m-xylène",musc xylène,81-15-2,,609-068-00-1,,,,C2,,,,,,,
"6-(2-chloroéthyl)-6-(2-méthoxyéthoxy)-2,5,7,10-tétraoxa-6-silaundécane",etacelasil (ISO),37894-46-5,,014-014-00-X,,,,,,,,R1B,H360D,,
"6,6'-((3,3'-diméthyl-(1,1'-biphényl-4,4'diyl)bis(azo)bis(4-amino-5-hydroxy-1,3-naphtalènedisulfonate) de tétrasodium",,314-13-6,206-242-5,611-030-00-4,,,23860,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-tolidine
"6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonate] de tétralithium",,84559-91-1,283-177-9,611-029-00-9,,,,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"6,6'-[(3,3'-diméthoxy[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxynaphtalène-1,3-disulfonate] de tétrasodium",,2610-05-1,220-026-8,611-029-00-9,,,24410,C1B,,,,,,,Appartient à la famille des colorants azoïques dérivant de l'o-dianisidine
"6,6'-bis(diazo-5,5',6,6'-tétrahydro-5,5'-dioxo)[méthylène-bis(5-(6-diazo-5,6-dihydro-5-oxo-1-naphtylsulfonyloxy)-6-méthyl-2-phénylèno]di(naphtalène-1-sulfonate)",,,,607-686-00-6,1ère,,,C2,,,,,,,
"6,6'-di-tert-butyl-2,2'-méthylènedi-p-crésol",[DBMC],119-47-1,,604-095-00-5,17ème,,,,,,,R1B,H360F,,
