Nom chimique/DCI,Numéro CAS,Numéro CE
"Mélange de: produit de la réaction entre 4,4′-méthylènebis[2-(4-hydroxybenzyle)-3,6-diméthylphénol] et 6-diazo-5,6-dihydro-5-oxo-naphthalènesulfonate (1:2) Produit de la réaction entre 4,4′-méthylènebis[2-(4-hydroxybenzyle)-3,6-diméthylphenol] et 6-diazo-5,6-dihydro-5-oxonaphthalènesulfonate (1:3)",,417-980-4
Chlorhydrate vert de malachite [1],569-64-2 [1],209-322-8
Oxalate vert de malachite [2],18015-76-4 [2],241-922-5
"1-(4-Chlorophényle)-4,4-diméthyle-3-(1,2,4-triazol-1-ylméthyle)pentan-3-ol",107534-96-3,403-640-2
"5-(3-Butyryle-2,4,6-triméthylphényle)-2-[1-(ethoxyimino)propyle]-3-hydroxycyclohex-2-en-1-one",138164-12-2,414-790-3
Trans-4-phényle-L-proline,96314-26-0,416-020-1
"Mélange de: 5-[(4-[(7-amino-1-hydroxy-3-sulfo-2-naphthyle) azo]-2,5-diéthoxyphényle)azo]-2-[(3-phosphonophényle)azo]-acide benzoïque et 5-[(4-[(7-amino-1-hydroxy-3-sulfo-2-naphthyl)azo]-2,5-diethoxyphenyl)azo]-3-[(3-phosphonophenyl) azo]-acide benzoïque",163879-69-4,418-230-9
"2-{4-(2-Ammoniopropylamino)-6-[4-hydroxy-3-(5-méthyle-2-méthoxy-4-sulfamoylphénylazo)-2-sulfonatonaphth-7-ylamino]-1,3,5-triazin-2-ylamino}}-2-aminopropyl formate",,424-260-3
5-Nitro-o-toluidine [1],99-55-8 [1],202-765-8
Hydrochlorure de 5-nitro-o-toluidine[2],51085-52-0 [2],256-960-8
Chlorure de 1-(1-naphtylméthyl)quinoléinium,65322-65-8,406-220-7
(R)-5-Bromo-3-(1-methyl-2-pyrrolidinylméthyl)-1H-indole,143322-57-0,422-390-5
Pymétrozine (ISO),123312-89-0,613-202-00-4
Oxadiargyle (ISO),39807-15-3,254-637-6
"Chlorotoluron (3-(3-chloro-p-tolyl)-1,1-diméthyle urée)",15545-48-9,239-592-2
N-[2-(3-Acétyl-5-nitrothiophène-2-ylazo)-5-diéthylaminophényle] acétamide,,416-860-9
"1,3-bis(Vinylsulfonylacétamido)-propane",93629-90-4,428-350-3
p-Phénétidine (4-éthoxyaniline),156-43-4,205-855-5
m-Phénylènediamine et ses sels,108-45-2,203-584-7
"Résidus (goudron de houille), distillation d'huile de créosote, s'ils contiennent > 0,005 % de w/w benzo[a]pyrène",92061-93-3,295-506-3
"Huile de créosote, fraction acénaphtène, huile de lavage, si elles contiennent > 0,005 % de w/w benzo[a]pyrène",90640-84-9,292-605-3
"Huile de créosote, si elle contient > 0,005 % de w/w benzo[a]pyrène",61789-28-4,263-047-8
"Créosote, si elle contient > 0,005 % de w/w benzo[a]pyrène",8001-58-9,232-287-5
"Huile de créosote, distillat à point d'ébullition élevé, huile de lavage, s'ils contiennent > 0,005 % de w/w benzo[a]pyrène",70321-79-8,274-565-9
"Résidus d'extraits (houille), acide d'huile de créosote, résidus d'extraits d'huile de lavage, s'ils contiennent > 0,005 % de w/w benzo[a]pyrène",122384-77-4,310-189-4
"Huile de créosote, distillat à point d'ébullition bas, s'ils contiennent > 0,005 de % w/w benzo[a]pyrène",70321-80-1,274-566-4
"6-Methoxy-2,3-Pyridinediamine et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",94166-62-8,303-358-9
"2,3-Naphthalenediol, en cas d'utilisation dans des produits de teinture capillaire",92-44-4,202-156-7
"2,4-Diaminodiphenylamine, en cas d'utilisation dans des produits de teinture capillaire",136-17-4,
"2,6-Bis(2-Hydroxyethoxy)-3,5-Pyridinediamine et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",117907-42-3,
"2-Methoxymethyl-p-Aminophenol et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",135043-65-1/29785-47-5,
"4,5-Diamino-1-Methylpyrazole et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",20055-01-0/21616-59-1,
"4,5-Diamino-1-((4-Chlorophenyl)Methyl)-1H-Pyrazole Sulfate, en cas d'utilisation dans des produits de teinture capillaire",163183-00-4,
"4-Chloro-2-Aminophenol, en cas d'utilisation dans des produits de teinture capillaire",95-85-2,202-458-9
"4-Hydroxyindole, en cas d'utilisation dans des produits de teinture capillaire",2380-94-1,219-177-2
"4-Methoxytoluene-2,5-Diamine et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",56496-88-9,
"5-Amino-4-Fluoro-2-Methylphenol Sulfate, en cas d'utilisation dans des produits de teinture capillaire",163183-01-5,
"N,N-Diethyl-m-Aminophenol, en cas d'utilisation dans des produits de teinture capillaire",91-68-9/68239-84-9,202-090-9/269-478-8
"N,N-Dimethyl-2,6-Pyridinediamine et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",,
"N-Cyclopentyl-m-Aminophenol, en cas d'utilisation dans des produits de teinture capillaire",104903-49-3,
"N-(2-Methoxyethyl)-p-phenylenediamine et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",72584-59-9/66566-48-1,276-723-2
"2,4-Diamino-5-methylphenetol et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",113715-25-6,
"1,7-Naphthalenediol, en cas d'utilisation dans des produits de teinture capillaire",575-38-2,209-383-0
"3,4-Acide diaminobenzoïque, en cas d'utilisation dans des produits de teinture capillaire",0619-05-06,210-577-2
"2-Aminomethyl-p-Aminophenol et son sel HCl, en cas d'utilisation dans des produits de teinture capillaire",79352-72-0,
"Solvent Red 1 (CI 12150), en cas d'utilisation dans des produits de teinture capillaire",1229-55-6,214-968-9
"Acid Orange 24 (CI 20170), en cas d'utilisation dans des produits de teinture capillaire",1320-07-06,215-296-9
"Acid Red 73 (CI 27290), en cas d'utilisation dans des produits de teinture capillaire",5413-75-2,226-502-1
"PEG-3,2′,2′-di-p-phénylènediamine",144644-13-3,
6-Nitro-o-toluidine,570-24-1,209-329-6
HC Yellow no 11,73388-54-2,
HC Orange no 3,81612-54-6,
HC Green no 1,52136-25-1,257-687-7
HC Red no 8 et ses sels,13556-29-1/97404-14-3,- / 306-778-0
Tétrahydro-6-nitroquinoxaline et ses sels,158006-54-3/41959-35-7/73855-45-5,
"Disperse Red 15, sauf comme impureté dans Disperse Violet 1",116-85-8,204-163-0
4-Amino-3-fluorophénol,399-95-1,402-230-0
"N,N′-dihéxadécyle-N,N′-bis (2-hydroxyéthyle) propanediamide
 Bishydroxyethyl Biscetyl Malonamide",149591-38-8,422-560-9
"1-Méthyl-2,4,5-trihydroxybenzène et ses sels, en cas d'utilisation dans des produits de teintures capillaires",1124-09-0,214-390-7
"2,6-Dihydroxy-4-méthylpyridine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",4664-16-8,225-108-7
"5-Hydroxy-1,4-benzodioxane et ses sels, en cas d'utilisation dans des produits de teintures capillaires",10288-36-5,233-639-0
"3,4-Methylenedioxyphenol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",533-31-3,208-561-5
"3,4-Methylenedioxyaniline et ses sels, en cas d'utilisation dans des produits de teintures capillaires",14268-66-7,238-161-6
"Hydroxypyridinone et ses sels, en cas d'utilisation dans des produits de teintures capillaires",822-89-9,212-506-0
"3-Nitro-4-aminophenoxyethanol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",50982-74-6,
"2-Méthoxy-4-nitrophénol (4-Nitroguaiacol) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",3251-56-7,221-839-0
"CI Acid Black 131 et ses sels, en cas d'utilisation dans des produits de teintures capillaires",12219-01-01,
"1,3,5-Trihydroxybenzène (Phloroglucinol) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",108-73-6,203-611-2
"1,2,4-Benzenetriacetate et ses sels, en cas d'utilisation dans des produits de teintures capillaires",0613-03-06,210-327-2
"Ethanol, 2,2'-iminobis-, produits de réaction avec l'épichlorhydrine et 2-nitro-1,4-benzènediamine (HC Blue no 5) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",68478-64-8/158571-58-5,
"N-Méthyl-1,4-diaminoanthraquinone, produits de réaction avec l'épichlorhydrine et la monoéthanolamine (HC Blue no 4) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",158571-57-4,
"Acide 4-aminobenzènesulfonique (acide sulfanilique) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",121-57-3/515-74-2,204-482-5/208-208-5
"Acide 3,3'-(Sulfonylbis[(2-nitro-4,1-phénylène)imino)]bis(6-(phénylamino)benzènesulfonique et ses sels, en cas d'utilisation dans des produits de teintures capillaires",6373-79-1,228-922-0
"3(ou 5)-[(4-(Benzylméthylamino)phényl)Azo)-1,2-(ou 1,4)-diméthyl-1H-1,2,4-triazolium et ses sels, en cas d'utilisation dans des produits de teintures capillaires",89959-98-8/12221-69-1,289-660-0
"(2,2'-[(3-Chloro-4-[(2,6-dichloro-4-nitrophényl)azo)phényl)imino)biséthanol) (Disperse Brown 1) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",23355-64-8,245-604-7
"Benzothiazolium, 2-[[4-[éthyl(2-hydroxyéthyl)amino]phényl]azo]-6-méthoxy-3-méthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",12270-13-2,235-546-0
"2-[(4-Chloro-2-nitrophényl)azo]-N-(2-méthoxyphényl)-3-oxobutanamide (Pigment Yellow 73) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",13515-40-7,236-852-7
"2,2'-[(3,3'-Dichloro[1,1'-biphényl]-4,4'-diyl)bis(azo)]bis[3-oxo-N-phénylbutanamide] (Pigment Yellow 12) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",6358-85-6,228-787-8
"2,2'-(1,2-Ethènediyl)bis[5-[(4-éthoxyphényl)azo]acide benzène sulfonique) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2870-32-8,220-698-2
"2,3-Dihydro-2,2-diméthyl-6-[(4-(phénylazo)-1-naphthalényl)azo]-1H-pyrimidine (Solvent Black 3) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",4197-25-5,224-087-1
"Acide 3(ou5)-[[4-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo]-1-naphthyl]azo]salicylique et ses sels, en cas d'utilisation dans des produits de teintures capillaires",3442-21-5/34977-63-4,222-351-0/252-305-5
"Acide 2-naphtalène sulfonique, 7-(benzoylamino)-4-hydroxy-3-[[4-[(4-sulfophényl)azo]phényl]azo]-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2610-11-9,220-028-9
"(μ-[(7,7'-Iminobis(4-hydroxy-3-[(2-hydroxy-5-(N-méthylsulphamoyl)phényl)azo)naphthalène-2-sulfonato)](6-)])dicuprate(2-) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",37279-54-2,253-441-8
"Acide 3-[(4-(Acétylamino)phényl)azo]-4-hydroxy-7-[[[[5-hydroxy-6-(phénylazo)-7-sulfo-2-naphthalényl]amino]carbonyl]amino]-2-naphtalène sulfonique et ses sels, en cas d'utilisation dans des produits de teintures capillaires",3441-14-3,222-348-4
"Acide 2-naphtalène sulfonique, 7,7'-(carbonyldiimino)bis(4-hydroxy-3-[[2-sulfo-4-[(4-sulfophényl)azo]phényl]azo]-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2610-10-8/25188-41-4,220-027-3
"Ethanaminium, N-(4-[bis[4-(diéthylamino)phényl]méthylène]-2,5-cyclohexadiène-1-ylidène)-N-éthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2390-59-2,219-231-5
"3H-Indolium, 2-[[(4-méthoxyphényl)méthylhydrazono]méthyl]-1,3,3-triméthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",54060-92-3,258-946-7
"3H-Indolium, 2-(2-[(2,4-diméthoxyphényl)amino)éthényl)-1,3,3-triméthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",4208-80-4,224-132-5
"Nigrosine soluble dans l'alcool (Solvent Black 5), en cas d'utilisation dans des produits de teintures capillaires",11099-03-09,
"Phénoxazine-5-ium, 3,7-bis(diéthylamino)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",47367-75-9/33203-82-6,251-403-5
"Benzo[a]phénoxazine-7-ium, 9-(diméthylamino)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",7057-57-0/966-62-1,230-338-6/213-524-1
"6-Amino-2-(2,4-diméthylphényl)-1H-benz[de]isoquinoline-1,3(2H)-dione (Solvent Yellow 44) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2478-20-8,219-607-9
"1-Amino-4-[[4-[(diméthylamino)méthyl]phényl]amino]anthraquinone et ses sels, en cas d'utilisation dans des produits de teintures capillaires",67905-56-0/12217-43-5,267-677-4/235-398-7
"Laccaic Acid (CI Natural Red 25) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",60687-93-6,
"Acide benzène sulfonique, 5-[(2,4-dinitrophényl)amino]-2-(phénylamino)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",6373-74-6/15347-52-1,228-921-5/239-377-3
"4-[(4-Nitrophényl)azo]aniline (Disperse Orange 3) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",730-40-5/70170-61-5,211-984-8
"4-Nitro-m-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",5131-58-8,225-876-3
"1-Amino-4-(méthylamino)-9,10-anthracènedione (Disperse Violet 4) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",1220-94-6,214-944-8
"N-Methyl-3-nitro-p-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2973-21-9,221-014-5
"N1-(2-Hydroxyéthyl)-4-nitro-o-phénylènediamine (HC Yellow no 5) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",56932-44-6,260-450-0
"N1-(Tris(hydroxyméthyl)]méthyl-4-nitro-1,2-phénylènediamine (HC Yellow no 3) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",56932-45-7,260-451-6
"2-Nitro-N-hydroxyéthyl-p-anisidine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",57524-53-5,
"N,N'-Diméthyl-N-Hydroxyéthyl-3-nitro-p-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",10228-03-02,233-549-1
"3-(N-Méthyl-N-(4-méthylamino-3-nitrophényl)amino)propane-1,2-diol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",93633-79-5,403-440-5
"Acide 4-éthylamino-3-nitrobenzoïque (N-Ethyl-3-Nitro PABA) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2788-74-1,412-090-2
"(8-[(4-Amino-2-nitrophényl)azo]-7-hydroxy-2-naphthyl)triméthylammonium et ses sels, à l'exception de Basic Red 118 (CAS 71134-97-9) comme impureté dans Basic Brown 17, en cas d'utilisation dans des produits de teintures capillaires",71134-97-9,275-216-3
"5-[(4-(Diméthylamino)phényl)azo)-1,4-diméthyl-1H-1,2,4-triazolium et ses sels, en cas d'utilisation dans des produits de teintures capillaires",12221-52-2,
"m-Phénylènediamine, 4-(phénylazo)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",495-54-5,207-803-7
"1,3-Benzènediamine, 4-méthyl-6-(phénylazo)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",4438-16-8,224-654-3
"Acide 2,7-naphtalènedisulfonique, 5-(acétylamino)-4-hydroxy-3-[(2-méthylphényl)azo)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",6441-93-6,229-231-7
"4,4'-[(4-Méthyl-1,3-phénylène)bis(azo)]bis[6-méthyl-1,3-benzènediamine] (Basic Brown 4) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",4482-25-1,224-764-1
"Benzènaminium, 3-[[4-[[diamino(phénylazo)phényl]azo]-2-méthylphényl]azo]-N,N,N-triméthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",83803-99-0,280-920-9
"Benzènaminium, 3-[[4-[[diamino(phénylazo)phényl]azo]-1-naphthalényl]azo]-N,N,N-triméthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",83803-98-9,280-919-3
"Ethanaminium, N-[4-[(4-(diéthylamino)phényl)phénylméthylène]-2,5-cyclohexadiène-1-ylidène]-N-éthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",0633-03-04,211-190-1
"9,10-Anthracènedione, 1-[(2-hydroxyéthyl)amino]-4-(méthylamino)- et ses dérivés et sels, en cas d'utilisation dans des produits de teintures capillaires",2475-46-9/86722-66-9,219-604-2/289-276-3
"1,4-Diamino-2-méthoxy-9,10-anthracènedione (Disperse Red 11) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2872-48-2,220-703-8
"1,4-Dihydroxy-5,8-bis[(2-hydroxyéthyl)amino]anthraquinone (Disperse Blue 7) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",3179-90-6,221-666-0
"1-[(3-Aminopropyl)amino]-4-(méthylamino)anthraquinone et ses sels, en cas d'utilisation dans des produits de teintures capillaires",22366-99-0,244-938-0
"N-[6-[(2-Chloro-4-hydroxyphényl)imino]-4-méthoxy-3-oxo-1,4-cyclohexadiène-1-yl]acétamide (HC Yellow no 8) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",66612-11-1,266-424-5
"[6-[[3-Chloro-4-(méthylamino)phényl]imino]-4-méthyl-3-oxocyclohexa-1,4-diène-1-yl]urée (HC Red no 9) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",56330-88-2,260-116-4
"Phénothiazine-5-ium, 3,7-bis(diméthylamino)-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",61-73-4,200-515-2
"4,6-Bis(2-Hydroxyéthoxy)-m-Phénylènediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",94082-85-6,
"5-Amino-2,6-Diméthoxy-3-Hydroxypyridine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",104333-03-1,
"4,4'-Diaminodiphenylamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",537-65-5,208-673-4
"4-Diéthylamino-o-toluidine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",148-71-0/24828-38-4/2051-79-8,205-722-1/246-484-9/218-130-3
"N,N-Diéthyl-p-phénylènediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",93-05-0/6065-27-6/6283-63-2,202-214-1/227-995-6/228-500-6
"N,N-Dimethyl-p-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",99-98-9/6219-73-4,202-807-5/228-292-7
"Toluene-3,4-Diamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",496-72-0,207-826-2
"2,4-Diamino-5-méthylphénoxyéthanol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",141614-05-3/113715-27-8,
"6-Amino-o-cresol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",17672-22-9,
"Hydroxyéthylaminométhyl-p-aminophénol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",110952-46-0/135043-63-9,
"2-Amino-3-nitrophenol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",603-85-0,210-060-1
"2-Chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",50610-28-1,256-652-3
"2-Nitro-p-phenylenediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",5307-14-2/18266-52-9,226-164-5/242-144-9
"Hydroxyethyl-2,6-dinitro-p-anisidine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",122252-11-3,
"6-Nitro-2,5-pyridinediamine et ses sels, en cas d'utilisation dans des produits de teintures capillaires",69825-83-8,
"Phénazinium, 3,7-diamino-2,8-diméthyl-5-phényl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",477-73-6,207-518-8
"Acide 3-hydroxy-4-[(2-hydroxynaphthyl)azo]-7-nitronaphthalène-1-sulfonique et ses sels, en cas d'utilisation dans des produits de teintures capillaires",16279-54-2/5610-64-0,240-379-1/227-029-3
"3-[(2-nitro-4-(trifluorométhyl)phényl)amino]propane-1,2-diol (HC Yellow no 6) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",104333-00-8,
"2-[(4-chloro-2-nitrophényl)amino]éthanol (HC Yellow no 12) et ses sels, en cas d'utilisation dans des produits de teintures capillaires",59320-13-7,
"3-[[4-[(2-Hydroxyéthyl)Méthylamino]-2-Nitrophényl]Amino]-1,2-Propanediol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",173994-75-7/102767-27-1,
"3-[[4-[Ethyl(2-Hydroxyéthyl)Amino]-2-Nitrophényl]Amino]-1,2-Propanediol et ses sels, en cas d'utilisation dans des produits de teintures capillaires",114087-41-1/114087-42-2,
"Ethanaminium, N-[4-[[4-(diéthylamino)phényl][4-(éthylamino)-1-naphthalényl]méthylène]-2,5-cyclohexadiène-1-ylidène]-N-éthyl-, et ses sels, en cas d'utilisation dans des produits de teintures capillaires",2390-60-5,219-232-0
"4-[(4-aminophényl)(4-iminocyclohexa-2,5-diène-1-ylidène)méthyl]-o-toluidine et son chlorhydrate (Basic Violet 14; CI 42510) en cas d’utilisation comme substance dans les teintures capillaires",3248-93-9,221-832-2
"4-[(4-aminophényl)(4-iminocyclohexa-2,5-diène-1-ylidène)méthyl]-o-toluidine et son chlorhydrate (Basic Violet 14; CI 42510) en cas d’utilisation comme substance dans les teintures capillaires",632-99-5,211-189-6
"acide 4-[(2,4-dihydroxyphényl)azo]benzènesulfonique et son sel de sodium (Acid Orange 6; CI 14270) en cas d’utilisation comme substance dans les teintures capillaires",2050-34-2/547-57-9 (Na),218-087-0/208-924-8 (Na)
acide 3-hydroxy-4-(phénylazo)-2-naphtoïque et son sel de calcium (Pigment Red 64:1; CI 15800) en cas d’utilisation comme substance dans les teintures capillaires,27757-79-5/6371-76-2 (Ca),248-638-0/228-899-7 (Ca)
acide 2-(6-hydroxy-3-oxo-(3H)-xanthène-9-yl)benzoïque; fluorescéine et son sel disodique (Acid yellow 73 sodium salt; CI 45350) en cas d’utilisation comme substance dans les teintures capillaires,2321-07-5/518-47-8 (Na),219-031-8/208-253-0 (Na)
"4′,5′-dibromo-3′,6′-dihydroxyspiro[isobenzofuranne-1(3H),9′- [9H]xanthène]-3-one; 4′,5′-dibromofluorescéine; (Solvent Red 72) et son sel disodique (CI 45370) en cas d’utilisation comme substance dans les teintures capillaires",596-03-2/4372-02-5 (Na),209-876-0/224-468-2 (Na)
"acide 2-(3,6-dihydroxy-2,4,5,7-tétrabromoxanthène-9-yl)-benzoïque; 2′,4′,5′,7′-tétrabromofluorescéine-; (Solvent Red 43), son sel disodique (Acid Red 87; CI 45380) et son sel d’aluminium (Pigment Red 90:1 Aluminium lake) en cas d’utilisation comme substance dans les teintures capillaires",15086-94-9/17372-87-1 (Na)/15876-39-8 (Al),239-138-3/241-409-6 (Na)/240-005-7 (Al)
"hydrogéno-9-(2-carboxylatophényl)-3-(2-méthylanilino)-6-(2- méthyl-4-sulfoanilino)xanthylium, sel interne; et son sel de sodium (Acid Violet 9; CI 45190) en cas d’utilisation comme substance dans les teintures capillaires",10213-95-3/6252-76-2 (Na),-/228-377-9 (Na)
"3′,6′-dihydroxy-4′,5′-diiodospiro[isobenzofuranne-1(3H),9′- [9H]xanthène]-3-one; (Solvent Red 73) et son sel de sodium (Acid Red 95; CI 45425) en cas d’utilisation comme substance dans les teintures capillaires",38577-97-8/33239-19-9 (Na),254-010-7/251-419-2 (Na)
"2′,4′,5′,7′-tétraiodofluorescéine, son sel disodique (Acid Red 51; CI 45430) et son sel d’aluminium (Pigment Red 172 Aluminium lake) en cas d’utilisation comme substance dans les teintures capillaires",15905-32-5/16423-68-0 (Na)/12227-78-0 (Al),240-046-0/240-474-8 (Na)/235-440-4 (Al)
"1-hydroxy-2,4-diaminobenzène (2,4-diaminophényl) et son dichlorhydrate (2,4-Diaminophenol HCl) en cas d’utilisation comme substance dans les teintures capillaires",95-86-3/137-09-7 (HCl),202-459-4/205-279-4 (HCl)
"1,4-dihydroxybenzène (Hydroquinone), à l’exception de l’entrée 14 de l’annexe III",123-31-9,204-617-8
"chlorure de [4-[[4-anilino-1-naphtyl][4-(diméthylamino)phényl]méthylène]cyclohexa-2,5-diène-1-ylidène]diméthylammonium (Basic Blue 26; CI 44045) en cas d’utilisation comme substance dans les teintures capillaires",2580-56-5,219-943-6
"3-[(2,4-diméthyl-5-sulfonatophényl)azo]-4-hydroxynaphtalène-1- sulfonate de disodium (Ponceau SX; CI 14700) en cas d’utilisation comme substance dans les teintures capillaires",4548-53-2,224-909-9
"tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphtalène-2-sulfonato(2-)- N5,O6]ferrate(3-) de trisodium (Acid Green 1; CI 10020) en cas d’utilisation comme substance dans les teintures capillaires",19381-50-1,243-010-2
"4-(phénylazo)résorcinol (Solvent Orange 1; CI 11920) et ses sels, en cas d’utilisation comme substance dans les teintures capillaires",2051-85-6,218-131-9
"4-[(4-ethoxyphényl)azo]naphtol (Solvent Red 3; CI 12010) et ses sels, en cas d’utilisation comme substance dans les teintures capillaires",6535-42-8,229-439-8
"1-[(2-chloro-4-nitrophényl)azo]-2-naphtol (Pigment Red 4; CI 12085) et ses sels, en cas d’utilisation comme substance dans les teintures capillaires",2814-77-9,220-562-2
"3-hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophényl)azo]naphtalène-2- carboxamide (Pigment Red 112; CI 12370) et ses sels, en cas d’utilisation comme substance dans les teintures capillaires",6535-46-2,229-440-3
"N-(5-chloro-2,4-diméthoxyphényl)-4-[[5-[(diéthylamino)sulfonyl]-2- méthoxyphényl]azo]-3-hydroxynaphtalène-2-carboxamide (Pigment Red 5; CI 12490) et ses sels, en cas d’utilisation comme substance dans les teintures capillaires",6410-41-9,229-107-2
4-[(5-chloro-4-méthyl-2-sulfonatophényl)azo]-3-hydroxy-2-naphtoate de disodium (Pigment Red 48; CI 15865) en cas d’utilisation comme substance dans les teintures capillaires,3564-21-4,222-642-2
3-hydroxy-4-[(1-sulfonato-2-naphtyl)azo]-2-naphtoate de calcium (Pigment Red 63:1; CI 15880) en cas d’utilisation comme substance dans les teintures capillaires,6417-83-0,229-142-3
"3-hydroxy-4-(4′-sulfonatonaphtylazo)naphtalène-2,7-disulfonate de trisodium (Acid Red 27; CI 16185) en cas d’utilisation comme substance dans les teintures capillaires",915-67-3,213-022-2
"2,2′-[(3,3′-dichloro[1,1′-biphényl]-4,4′-diyl)bis(azo)]bis[N-(2,4- diméthylphényl)-3-oxobutyramide] (Pigment Yellow 13; CI 21100) en cas d’utilisation comme substance dans les teintures capillaires",5102-83-0,225-822-9
"2,2′-[cyclohexylidènebis[(2-méthyl-4,1-phénylène)azo]]bis[4-cyclohexylphénol] (Solvent Yellow 29; CI 21230) en cas d’utilisation comme substance dans les teintures capillaires",6706-82-7,229-754-0
1-(4-(phénylazo)phénylazo)-2-naphtol (Solvent Red 23; CI 26100) en cas d’utilisation comme substance dans les teintures capillaires,85-86-9,201-638-4
"6-amino-4-hydroxy-3-[[7-sulfonato-4-[(4-sulfonatophényl)azo]-1- naphtyl]azo]naphtalène-2,7-disulfonate de tétrasodium (Food Black 2; CI 27755) en cas d’utilisation comme substance dans les teintures capillaires",2118-39-0,218-326-9
"hydrogéno[4-[4-(diéthylamino)-2′,4′-disulfonatobenzhydrylidène]cyclohexa-2,5-diène-1-ylidène]diéthylammonium, sel de sodium (Acid Blue 1; CI 42045) en cas d’utilisation comme substance dans les teintures capillaires",129-17-9,204-934-1
